pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
182	埼玉県戸田市笹目	487.82	487.82	近隣商業地域	準工業地域	80	60.0	200	200.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	8.0	4.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	220	1100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0	景観地区				（無）	140000	192000	203000	366.18	121.64	0.0	182.98	183.2	105.8	105.8	183.09	105.8	（不要）	（不要）	0.0	0.0	（要）	48.0	○	○			○															4.0	3	14	○							○							○														JR埼京線	戸田公園	バス	14		2.0						
183	埼玉県さいたま市緑区松木	269.0	269.0	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北東	公道	6.0	10.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	300	950	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	100000	128000	134000	269.0	0.0	0.0	132.0	137.0	105.58	105.99	134.5	105.78	（不要）	（不要）	0.0	0.0	（要）	4.0					○															2.0	4	12						○		○							○		○					○							JR武蔵野線	東浦和	バス	7		6.0						
184	埼玉県三郷市戸ケ崎	130.67	115.67	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	4.8	11.4	南	私道	4.5	9.5			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	120	1100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	80000	109000	102000	115.67	15.0	0.0	115.67	115.67	105.99	105.99	115.67	105.99	（不要）	（不要）	0.0	0.0	（要）	35.0	○	○			○															3.0	2	14	○							○							○							○							首都圏新都市鉄道つくばエクスプレス	三郷中央	バス	9		5.0						
185	埼玉県熊谷市別府	367.0	367.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南東	公道	5.2	35.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1450	910	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	44000	68800	59700	367.0	0.0	0.0	182.0	185.0	106.81	110.12	183.5	108.46	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															7.0	19	12				○				○							○												○		JR高崎線	籠原	バス	6		4.0						
186	埼玉県鶴ヶ島市脚折町	105.65	105.65	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	6.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	350	1500	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	81000	92800	108000	105.65	0.0	0.0	105.65	105.65	94.41	94.41	105.65	94.41	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															4.0	5	19	○							○												○		○							東武東上線	坂戸	徒歩	14								
187	埼玉県草加市八幡町	172.61	155.05	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	6.0	8.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	640	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	86000	99000	129000	172.61	0.0	0.0	172.61	172.61	105.17	105.17	172.61	105.99	（不要）	（不要）	0.0	0.0	（不要）		○	○									○									13.0	8	14																													東武伊勢崎線	新田	徒歩	17								
188	埼玉県加須市不動岡	212.25	212.0	第一種中高層住居専用地域		60	0.0	150	0.0	公営	公共下水	個別プロパン	公共下水	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	6.0	15.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	400	1120	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	27000	33300	33200	212.25	0.0	0.0	212.25	212.25	105.79	105.79	212.25	105.16	（不要）	（不要）	0.0	0.0	（要）	22.0					○															9.0	5	14								○							○														東武伊勢崎線	加須	バス	30		8.0						
189	埼玉県児玉郡上里町金久保	1362.13	1352.3	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	6.0	0.0	0.0	0.0	6.0	0.0	南	公道	4.1	43.8	東	公道	4.1	27.8			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	350	950	公簿	更地	非線引き区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無	0.0					（無）	0	34900	34800	1361.13	0.0	1.0	201.34	266.32	108.0	116.64	227.02	112.23	（不要）	（不要）	0.0	0.0	（不要）	0.0	○			○	○															14.0	5	12	○						○							○	○		○				○	○						○	JR高崎線	神保原	徒歩	22								
190	埼玉県日高市大字原宿	147.12	147.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	私道	4.2	12.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	960	480	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	45000	55600	62300	147.0	0.0	0.0	147.12	147.12	105.99	105.99	147.0	105.99	（不要）	（不要）	0.0	0.0	（不要）		○				○															20.0	12	6								○							○							○							JR川越線	高麗川	徒歩	13								
191	埼玉県越谷市大字大林	92.64	92.64	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.0	9.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	600	2000	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	86000	115000	111000	92.64	0.0	0.0	92.78	92.78	103.71	103.71	92.64	103.71	（不要）	（不要）	0.0	0.0	（不要）		○				○															13.0	8	25	○																					○							東武伊勢崎線	北越谷	徒歩	15								
192	埼玉県飯能市大字双柳字山之内	945.0	945.0	準工業地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	7.0	0.0	0.0	0.0	7.0	0.0	北	公道	4.0	31.9	西	公道	4.0	28.1	東	公道	5.0	30.5	南	公道	5.0	36.0	（無）	0.0	0.3	（無）	（不要）	262	1200	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	55000	75500	79900	945.0	0.0	0.0	135.0	135.0	103.92	108.06	135.0	106.3	（不要）	（不要）	0.0	0.0	（不要）						○															17.0	4	15																													西武池袋線	東飯能	徒歩	18								
193	埼玉県草加市北谷	100.6	100.06	準住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	4.0	8.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	680	760	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	0	99000	114000	100.6	0.0	0.0	100.06	100.06	100.84	100.84	100.6	100.84	（不要）	（不要）	0.0	0.0	（不要）	0.0																				13.0	9	10	○							○																					東武伊勢崎線	新田	徒歩	21								
194	埼玉県さいたま市緑区道祖土	148.9	148.9	第一種中高層住居専用地域		60		200		公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	4.0	6.9													（無）	0.0	2.8	（有）	（要）	600	850	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域		景観法				（無）	115000	162000	150000	104.84	44.06	0.0	104.84	104.84	105.1	105.1	104.84	105.1	（不要）	（不要）			（要）	13.0					○															7.0	8	11	○							○							○							○							JR京浜東北線	北浦和	バス	5	東瀬ヶ崎	5.0			バス			
195	埼玉県朝霞市田島	94.51	94.51	第一種中高層住居専用地域		60	0.0	150	0.0	私営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	私道	4.0	12.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	28.62	0.0	（無）	（不要）	1100	1300	公簿	建物有	市街化区域		指定無	（無）	（有）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	110000	165000	141000	94.51	0.0	0.0	94.51	94.51	94.0	94.0	94.51	94.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○															6.0	14	17																													東武東上線	朝霞	徒歩	25								
196	埼玉県川口市前川町	130.43	106.73	第一種住居地域		60		200		公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	私道	4.0	8.3													（無）	0.0	0.3	（無）	（不要）	480	350	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無		景観法				（無）	140000	153000	161000	114.39	16.04	0.0	114.39	114.39	104.89	104.89	114.39	104.89	（不要）	（不要）			（要）	3.0	○				○													○		6.0	6	5	○								○							○													JR京浜東北線	蕨	バス	14	網代橋	2.0			バス			
197	埼玉県志木市中宗岡	493.98	538.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	3.3	23.3	東	公道	3.3	11.7			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	880	1280	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	120000	162000	163000	538.0	0.0	0.0	110.1	144.18	95.22	101.64	134.5	98.48	（要）	（不要）	5.3	0.0	（要）	140.0																				10.0	11	16																													東武東上線	志木	バス	10		5.0						
198	埼玉県飯能市大字岩沢	265.79	265.78	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	9.0	17.9	西	公道	6.0	17.8									（無）		0.0	（無）	（不要）	1200	1400	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	63000	102000	0	265.79	0.0	0.0	127.75	138.03	99.0	99.0	132.89	99.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															13.0	15	18	○							○							○							○							西武池袋線	元加治	徒歩	15								
199	埼玉県所沢市上新井	114.0	114.0	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	7.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	500	1600	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0					（無）	102000	168000	134000	114.0	0.0	0.0	114.0	114.0	99.62	99.62	114.0	99.62	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○															15.0	7	20	○							○							○														西武池袋線	小手指	徒歩	16								
200	埼玉県入間市東町	231.21	231.48	第一種住居地域	第一種中高層住居専用地域	60	60.0	200	200.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	12.1	12.4	北西	私道	4.0	13.7			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	720	560	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	92000	115000	116000	231.48	0.0	0.0	115.58	115.9	101.02	103.29	115.74	102.15	（不要）	（不要）	0.0	0.0	（不要）						○															22.0	9	7																													西武池袋線	武蔵藤沢	徒歩	22								
201	埼玉県比企郡川島町大字中山	661.28	661.28	第二種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	南	公道	5.3	19.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1700	700	公簿	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	0	41900	41000	661.28	0.0	0.0	150.82	192.6	103.91	105.99	165.32	104.84	（不要）	（不要）	0.0	0.0	（不要）						○															11.0	22	9	○																					○							東武東上線	川越	バス	25		1.0						
202	埼玉県八潮市中央	499.84	499.84	近隣商業地域		80	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	東	公道	10.5	19.8			0.0	0.0			0.0	0.0			0.0	0.0	（有）	134.34	0.4	（無）	（不要）	720	630	実測	更地	市街化区域		第2種	（有）	（無）	（不要）	（不要）	（要）	準防火地域	100.0					（有）	110000	110000	110000	499.84	0.0	0.0	111.0	140.0	96.0	96.0	124.96	96.0	（不要）	（不要）	0.0	0.0	（要）	18.0	○	○			○															13.0	9	8															○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	23								
203	埼玉県蕨市北町	134.74	134.67	近隣商業地域		80	0.0	300	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	0.0	2.0	北西	公道	5.4	10.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	200	550	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0	景観法				（無）	160000	205000	196000	134.74	0.0	0.0	66.98	67.76	105.09	105.09	67.37	105.09	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															5.0	3	7	○							○					○		○					○									JR京浜東北線	蕨	徒歩	15			JR埼京線	戸田	徒歩	18.0		
204	埼玉県川口市上青木	52.28	51.62	第二種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	南	公道	4.0	6.3	東	公道	4.0	7.3			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	960	1120	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	130000	161000	210000	51.62	0.0	0.0	52.28	52.28	81.97	81.97	51.62	81.97	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															9.0	12	14								○														○							埼玉高速鉄道線	鳩ヶ谷	徒歩	22								
205	埼玉県越谷市蒲生東町	106.29	106.29	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	7.5			0.0	0.0			0.0	0.0			0.0	0.0	（有）	54.44	0.3	（無）	（要）	1100	1200	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	94000	126000	160000	106.29	0.0	0.0	106.57	106.57	105.37	105.37	106.29	105.37	（不要）	（不要）	0.0	0.0	（不要）		○				○															6.0	14	15	○							○							○							○							東武伊勢崎線	蒲生	徒歩	19								
206	埼玉県八潮市大字木曽根	960.55	1287.53	第一種住居地域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	6.0	0.0	0.0	0.0	6.0	0.0	東	公道	3.5	7.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	390.4	0.6	（無）	（不要）	1200	2400	実測	建物有	市街化区域		第2種	（無）	（無）	（要）	（不要）	（不要）	22条区域	100.0		農地法			（無）	84000	114000	97500	1147.72	136.77	3.04	130.48	150.65	99.36	107.02	191.28	102.5	（不要）	（不要）	0.0	0.0	（不要）						○	○														16.0	15	30														○	○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	29								
207	埼玉県さいたま市緑区原山	1544.57	1544.57	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	6.0	7.0	0.0	0.0	6.0	0.0	北	公道	2.7	65.0	西	公道	4.0	29.5	東	公道	5.0	9.7			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	910	1040	実測	更地	市街化区域		指定無	（有）	（無）	（要）	（不要）	（不要）	防火指定無	100.0					（無）	140000	164000	166000	1319.27	222.3	3.0	100.0	108.6	88.28	93.95	118.81	90.88	（不要）	（不要）	0.0	0.0	（要）	60.0	○				○															17.0	12	13	○							○							○													○	JR京浜東北線	浦和	バス	10	原山3丁目	6.0						
208	埼玉県春日部市豊野町	161.23	161.23	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	6.0	12.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	100.0	0.4	（無）	（不要）	600	970	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0	農地法	景観法			（無）	0	59700	59700	161.23	0.0	0.0	161.23	161.23	95.0	95.0	161.23	95.0	（不要）	（不要）	0.0	0.0	（要）	43.0					○															20.0	8	13															○							○							東武伊勢崎線	春日部	バス	18		2.0						
209	埼玉県越谷市宮本町	100.03	100.03	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	10.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	400	1600	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	0	110000	130000	100.03	0.0	0.0	189.31	189.31	108.67	108.67	100.03	108.67	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															5.0	5	20	○							○														○							東武伊勢崎線	越谷	徒歩	16								
210	埼玉県ふじみ野市築地	583.09	582.73	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	南西	公道	4.0	15.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	142.06	0.3	（無）	（不要）	240	720	実測	造成上り	市街化区域		指定無	（有）	（無）	（要）	（不要）	（不要）	防火指定無	120.0			埋蔵文化財		（無）	115000	153000	176000	490.88	89.32	2.53	120.08	127.4	99.78	101.85	122.72	100.91	（不要）	（不要）	0.0	0.0	（不要）																					10.0	3	9																													東武東上線	上福岡	徒歩	21								
211	埼玉県熊谷市銀座	174.56	174.56	第一種住居地域		60		200		公営	公共下水	都市ガス	宅内処理	0.0	1.0	0.0	0.0	0.0	0.0	南	公道	6.0	13.4													（有）	123.3	0.3	（無）	（不要）	680	2300	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0	景観法				（無）	68000	84800	95500	174.56	0.0	0.0	174.56	174.56	0.0	0.0	174.56	0.0	（不要）	（不要）			（不要）			○			○															10.0	9	29	○							○							○							○							JR高崎線	熊谷	徒歩	10					徒歩			
